Customer_ID,Age,Gender,Shopping_Experience,Product_Quality,Delivery_Speed,Customer_Service,Return_Experience,Recommendation,Comments
Cust_1,33.0,Male,2.0,2.0,5.0,2.0,Yes,No,Comment_1
Cust_2,28.0,Female,3.0,,2.0,5.0,No,Yes,Comment_2
Cust_3,28.0,Male,3.0,5.0,5.0,5.0,Yes,No,Comment_3
Cust_4,19.0,Female,4.0,2.0,1.0,5.0,Yes,Yes,Comment_4
Cust_5,31.0,Male,2.0,5.0,2.0,5.0,No,No,Comment_5
Cust_6,58.0,Male,2.0,1.0,5.0,4.0,Yes,Yes,Comment_6
Cust_7,44.0,Male,2.0,3.0,1.0,1.0,Yes,No,Comment_7
Cust_8,36.0,Female,4.0,4.0,2.0,2.0,Yes,No,Comment_8
Cust_9,33.0,Male,2.0,5.0,2.0,3.0,Yes,No,Comment_9
Cust_10,33.0,Female,2.0,3.0,5.0,2.0,Yes,Yes,Comment_10
Cust_11,49.0,Male,4.0,1.0,1.0,5.0,Yes,No,Comment_11
Cust_12,64.0,Male,2.0,3.0,3.0,4.0,No,No,
Cust_13,50.0,Female,1.0,4.0,3.0,3.0,,Yes,Comment_13
Cust_14,42.0,,5.0,,1.0,2.0,No,Yes,Comment_14
Cust_15,53.0,Female,4.0,5.0,3.0,2.0,Yes,,Comment_15
Cust_16,61.0,Female,4.0,,2.0,5.0,No,No,Comment_16
Cust_17,50.0,Female,1.0,1.0,1.0,2.0,Yes,Yes,Comment_17
Cust_18,64.0,Female,4.0,3.0,5.0,2.0,,Yes,Comment_18
Cust_19,33.0,Male,4.0,4.0,3.0,,Yes,Yes,Comment_19
Cust_20,30.0,,,1.0,2.0,5.0,Yes,,
Cust_21,30.0,Male,3.0,1.0,5.0,1.0,Yes,Yes,Comment_21
Cust_22,57.0,,2.0,4.0,5.0,5.0,No,,Comment_22
Cust_23,57.0,Male,4.0,3.0,4.0,3.0,Yes,No,Comment_23
Cust_24,27.0,Male,3.0,5.0,1.0,4.0,No,Yes,Comment_24
Cust_25,31.0,Female,5.0,4.0,5.0,1.0,Yes,No,Comment_25
Cust_26,34.0,Female,2.0,3.0,1.0,1.0,Yes,Yes,Comment_26
